"year","week","speed_main","flow_main","speed_ngh_432","hour6","hour7","hour8","hour9","congestion"
4,12,111.85,1601.38,105.27,1,0,0,0,0
4,13,110.58,1590.51,106.63,1,0,0,0,0
4,14,110.49,1487.37,105.02,1,0,0,0,0
4,15,110.03,1542.11,104.34,1,0,0,0,0
4,16,109.08,1593.1,105.2,1,0,0,0,0
4,17,110.34,1755.79,104.59,1,0,0,0,0
4,18,110.54,1474.58,106.17,1,0,0,0,0
4,36,111.76,1580,106.57,1,0,0,0,0
4,37,111.36,1525,105.54,1,0,0,0,0
4,38,110.14,1494,105.27,1,0,0,0,0
4,39,110.94,1456,105.96,1,0,0,0,0
4,40,109.96,1566,104.16,1,0,0,0,0
4,41,108.91,1573,102.48,1,0,0,0,0
4,42,110.31,1577,104.94,1,0,0,0,0
4,43,110.61,1604,105.06,1,0,0,0,0
4,44,109.71,1682,104.96,1,0,0,0,0
4,45,108.95,1637,104.25,1,0,0,0,0
4,46,109.04,1658,104.54,1,0,0,0,0
4,47,108.41,1729,104.48,1,0,0,0,0
4,48,110.93,1568,104.15,1,0,0,0,0
4,49,109.92,1609,105.94,1,0,0,0,0
4,50,108.03,1606,103.66,1,0,0,0,0
4,51,110.48,1598,104.04,1,0,0,0,0
4,52,110.66,919,106.34,1,0,0,0,0
4,1,109.14,680,105.53,1,0,0,0,0
5,2,110.63,1542,105,1,0,0,0,0
5,3,107.43,1562,103.64,1,0,0,0,0
5,4,109.89,1559,106.8,1,0,0,0,0
5,5,110.25,1597,105.24,1,0,0,0,0
5,6,109.38,1478,104.01,1,0,0,0,0
5,7,110.01,1541,106.29,1,0,0,0,0
5,19,105.62,605,93.89,1,0,0,0,0
5,20,101.68,1811,88.84,1,0,0,0,1
5,21,101.73,1858,87.14,1,0,0,0,1
5,22,104.04,2109,89.58,1,0,0,0,1
5,23,120.23,935.59,79.5,1,0,0,0,0
5,24,111.39,1910.85,80.95,1,0,0,0,0
5,25,110.81,1877,82.1,1,0,0,0,0
5,26,111.76,1859,89.69,1,0,0,0,0
5,27,111.51,1944,89.22,1,0,0,0,0
5,28,112.75,1805,90.73,1,0,0,0,0
5,29,111.69,1673,89.71,1,0,0,0,0
5,30,111.34,1525,76.14,1,0,0,0,0
5,31,110.65,1234,87.53,1,0,0,0,0
5,32,109.97,1197,87.17,1,0,0,0,0
5,33,111.87,1431,89.57,1,0,0,0,0
5,34,110.81,1763,85.5,1,0,0,0,0
5,35,111.57,1799,87.26,1,0,0,0,0
5,36,111.06,1749,66.82,1,0,0,0,0
5,39,110.51,1845.26,105.19,1,0,0,0,0
5,40,109.87,1908,106.81,1,0,0,0,0
5,41,108.88,2006,106.46,1,0,0,0,0
5,42,110.79,2050,106.76,1,0,0,0,0
5,43,112.05,1767.46,108.24,1,0,0,0,0
5,44,111.24,1982,107.13,1,0,0,0,0
5,45,111.85,1915,107.22,1,0,0,0,0
5,46,112.96,1954.58,108.72,1,0,0,0,0
5,47,111.66,1973,106.43,1,0,0,0,0
5,48,110.74,1999,105.78,1,0,0,0,0
5,49,111.82,2000,108.77,1,0,0,0,0
5,50,111.45,1998,107.73,1,0,0,0,0
5,51,112.69,1994,109.38,1,0,0,0,0
5,52,110.98,1315,107.45,1,0,0,0,0
5,53,110.76,876,107.83,1,0,0,0,0
4,17,78.91,3413.9,90.61,0,1,0,0,1
4,18,108.12,3263.39,101.45,0,1,0,0,0
4,36,88.58,3245,92.38,0,1,0,0,1
4,38,87.68,3369,93.66,0,1,0,0,1
4,39,78.88,3332,92.16,0,1,0,0,1
4,41,75.5,3095,81.28,0,1,0,0,1
4,42,85.7,3258,91.5,0,1,0,0,1
4,43,103.37,3353,93.22,0,1,0,0,1
4,44,77.7,3343,90.85,0,1,0,0,1
4,45,70.54,3278,87.79,0,1,0,0,1
4,46,79.46,3338,89.63,0,1,0,0,1
4,47,72.59,3297,86.18,0,1,0,0,1
4,48,89.02,3386,90.13,0,1,0,0,1
4,49,79.67,3388,91.44,0,1,0,0,1
4,50,80.7,3206,86.8,0,1,0,0,1
4,51,70.44,3138,86.15,0,1,0,0,1
4,52,112.04,2269,104.36,0,1,0,0,0
4,1,110.97,1596,106.88,0,1,0,0,0
5,3,60.54,3055,77.52,0,1,0,0,1
5,4,72.69,3383,87.59,0,1,0,0,1
5,5,86.44,3332,89.7,0,1,0,0,1
5,6,79.12,3222,88.24,0,1,0,0,1
5,7,82.01,3209,88.13,0,1,0,0,1
5,19,103.51,1210,91.62,0,1,0,0,1
5,23,117.73,2110,56.03,0,1,0,0,0
5,29,111.55,3354,81.67,0,1,0,0,0
5,30,113.19,2968,70.39,0,1,0,0,0
5,31,112.91,2728,82.8,0,1,0,0,0
5,32,110.83,2730,82.82,0,1,0,0,0
5,33,113.92,3148,83.98,0,1,0,0,0
5,52,111.15,3180,105.84,0,1,0,0,0
5,53,113.63,2023,109.43,0,1,0,0,0
4,13,46.01,3218.95,86.52,0,0,1,0,1
4,15,50.31,3220.68,81.53,0,0,1,0,1
4,16,103.89,3466.78,96.13,0,0,1,0,1
4,17,53.76,3093.1,85.54,0,0,1,0,1
4,18,105.39,3314.24,100.02,0,0,1,0,0
4,36,46.55,3194,83.95,0,0,1,0,1
4,37,54.34,3237,80.78,0,0,1,0,1
4,38,55.77,3254,85.31,0,0,1,0,1
4,39,51.81,3102,85.46,0,0,1,0,1
4,40,56.76,3186,84.62,0,0,1,0,1
4,41,50.56,3218,82.81,0,0,1,0,1
4,42,64.62,3248,83.04,0,0,1,0,1
4,43,59.29,2939,84.42,0,0,1,0,1
4,44,53.64,3137,77.21,0,0,1,0,1
4,45,52.22,3340,84.02,0,0,1,0,1
4,46,67.77,3297,84.6,0,0,1,0,1
4,47,54.76,3202,82.32,0,0,1,0,1
4,48,40.12,2924,84.33,0,0,1,0,1
4,49,81.03,3083,90.85,0,0,1,0,1
4,50,34.36,2818,80.08,0,0,1,0,1
4,51,52.1,3084,83.75,0,0,1,0,1
4,52,110.75,2705,102.2,0,0,1,0,0
4,1,111.86,2079,105.4,0,0,1,0,0
5,2,104.85,3219,96.07,0,0,1,0,1
5,3,55.56,2903,83.83,0,0,1,0,1
5,4,52.01,3404,85.56,0,0,1,0,1
5,5,49.41,3065.08,83,0,0,1,0,1
5,6,51.14,3079,86.48,0,0,1,0,1
5,7,54,2899,67.29,0,0,1,0,1
5,19,105.19,1265,90.45,0,0,1,0,0
5,20,95.71,3377,80.23,0,0,1,0,1
5,23,116.12,1932,47.93,0,0,1,0,0
5,29,110.93,3482,81.76,0,0,1,0,0
5,30,112.73,2984,69.98,0,0,1,0,0
5,31,111.68,3016.27,80.35,0,0,1,0,0
5,32,110.84,3205,80.99,0,0,1,0,0
5,36,27.9,3046,62.48,0,0,1,0,1
5,52,111.52,3444,105.3,0,0,1,0,0
5,53,114.69,2547,109.93,0,0,1,0,0
4,12,108.63,2728.42,100.93,0,0,0,1,0
4,13,102.62,3043.45,98.37,0,0,0,1,1
4,14,108.15,2915.59,100.35,0,0,0,1,0
4,15,96.89,3061.03,91.86,0,0,0,1,1
4,16,94.27,3290.18,95.68,0,0,0,1,1
4,17,105.35,3005.17,99.74,0,0,0,1,0
4,18,105.84,2550,100.54,0,0,0,1,0
4,36,102.27,3141,99.18,0,0,0,1,1
4,37,105.36,3094.58,98.56,0,0,0,1,0
4,38,104.89,3088.97,99.5,0,0,0,1,1
4,39,105.29,3206,99.25,0,0,0,1,0
4,40,106.24,2956,97.33,0,0,0,1,0
4,41,101.92,2969.49,95.05,0,0,0,1,1
4,42,103.7,3240,98.26,0,0,0,1,1
4,43,105.63,2798,97.39,0,0,0,1,0
4,44,84.1,3035,93.31,0,0,0,1,1
4,45,104.46,3220,95.36,0,0,0,1,1
4,46,103.34,3198,96.34,0,0,0,1,1
4,47,100.18,3062,96.7,0,0,0,1,1
4,48,91.02,2957.29,94.13,0,0,0,1,1
4,49,107.8,2724,101.29,0,0,0,1,0
4,50,37.94,2811,76.35,0,0,0,1,1
4,51,68.49,3001.03,83.41,0,0,0,1,1
4,52,111.24,2433,102.78,0,0,0,1,0
4,1,111.03,2270,103.26,0,0,0,1,0
5,2,109.83,2420,102.48,0,0,0,1,0
5,3,60.97,2806,89.61,0,0,0,1,1
5,4,104.63,2906,99.97,0,0,0,1,1
5,5,109.46,2688,100.57,0,0,0,1,0
5,6,105.75,2666,97.5,0,0,0,1,0
5,7,99.19,3025.42,98.42,0,0,0,1,1
5,19,101.16,2063,87.14,0,0,0,1,1
5,20,97.5,2876,82.69,0,0,0,1,1
5,21,98.74,3142,49.22,0,0,0,1,1
5,22,46.28,2613,49.9,0,0,0,1,1
5,23,117.89,1602,74.07,0,0,0,1,0
5,24,108.75,3327,73.22,0,0,0,1,0
5,25,107.57,3405,73.59,0,0,0,1,0
5,26,109.27,3041.69,81.21,0,0,0,1,0
5,27,108.84,3234,82.03,0,0,0,1,0
5,28,109.34,3137.29,83.56,0,0,0,1,0
5,29,108.82,3013,82.2,0,0,0,1,0
5,30,111.15,2731,69.54,0,0,0,1,0
5,31,110.09,2530.34,79.86,0,0,0,1,0
5,32,108.59,2754,80.1,0,0,0,1,0
5,33,109.69,3236,81.61,0,0,0,1,0
5,34,110.53,3113,79.6,0,0,0,1,0
5,35,20.85,1376.95,67.43,0,0,0,1,1
5,36,98.44,2892,62.35,0,0,0,1,1
5,39,109.76,3367,104.81,0,0,0,1,0
5,41,110.87,3276,106.56,0,0,0,1,0
5,42,109,3330,105.1,0,0,0,1,0
5,43,109.95,3202.91,106.12,0,0,0,1,0
5,44,110.88,3313.45,104.38,0,0,0,1,0
5,45,111.88,3225.76,105.22,0,0,0,1,0
5,46,111.36,3293,105.11,0,0,0,1,0
5,47,112.06,3285,106.16,0,0,0,1,0
5,48,109.96,3098,104.07,0,0,0,1,0
5,49,111.42,3221,106.9,0,0,0,1,0
5,50,111.41,3434,104.1,0,0,0,1,0
5,51,112.48,3221,107.17,0,0,0,1,0
5,52,112.04,2972,105.84,0,0,0,1,0
5,53,113.79,2819,107.83,0,0,0,1,0
